year_end,neighborhood,parcels,city_owned
1990,HAWTHORNE GLEN,122,0
1990,HERITAGE HEIGHTS,32,0
1990,HIGHWOOD ESTATES,500,0
1990,HILLSIDE,40,0
1990,HILLTOP PARISH,1,0
1990,HISTORIC MITCHELL STREET,1680,3
1990,HOLLER PARK,162,0
1990,HONEY CREEK MANOR,833,0
1990,HONEY CREEK PARKWAY,423,0
1990,JACKSON PARK,2382,0
1990,JOHNSON'S WOODS,910,0
1990,JUNEAU TOWN,300,0
1990,KILBOURN TOWN,3,0
1990,KING PARK,190,4
1990,KOPS PARK,1167,0
1990,LAND BANK,18,0
1990,LAYTON PARK,1601,3
1990,LENOX HEIGHTS,457,2
1990,LINCOLN CREEK,1962,1
1990,LINCOLN PARK,1422,0
1990,LINCOLN VILLAGE,1987,3
1990,LINDSAY PARK,1055,0
1990,LITTLE MENOMONEE PARKWAY,260,0
1990,LONG VIEW,911,1
1990,LOWER EAST SIDE,1131,0
1990,LYONS PARK,519,0
1990,MACK ACRES,65,0
1990,MAITLAND PARK,311,0
1990,MAPLE TREE,333,0
1990,MARTIN DRIVE,436,0
1990,MC GOVERN PARK,1063,0
1990,MELODY VIEW,186,0
1990,MENOMONEE RIVER HILLS,1799,2
1990,MENOMONEE RIVER HILLS EAST,637,1
1990,MENOMONEE RIVER VALLEY,11,0
1990,MERRILL PARK,557,5
1990,METCALFE PARK,739,7
1990,MIDTOWN,1450,13
1990,MILL VALLEY,324,0
1990,MILLER VALLEY,109,0
1990,MILWAUKEE RIVER PARKWAY,228,0
1990,MITCHELL FIELD,75,0
1990,MITCHELL PARK,8,0
1990,MITCHELL WEST,864,0
1990,MORGAN HEIGHTS,537,0
1990,MORGANDALE,2479,0
1990,MOUNT MARY,693,0
1990,MOUNT OLIVET,56,0
1990,MURRAY HILL,620,0
1990,MUSKEGO WAY,1906,3
1990,"NASH PARK",846,1
1990,"NATIONAL PARK",461,0
1990,NEW COELN,158,0
1990,NORTH DIVISION,2177,20
1990,NORTH GRANVILLE,27,0
1990,NORTHPOINT,509,0
1990,NORTHRIDGE,206,0
1990,NORTHRIDGE LAKES,336,0
1990,OLD NORTH MILWAUKEE,3118,3
1990,PARK KNOLL,339,0
1990,PARK PLACE,32,0
1990,PARK VIEW,137,0
1990,PARKWAY HILLS,154,0
1990,PHEASANT RUN,478,0
1990,POLLBER HEIGHTS,75,0
1990,POLONIA,1007,1
1990,RED OAK HEIGHTS,220,0
1990,RIDGEVIEW,88,0
1990,RIVER BEND,499,0
1990,RIVERSIDE PARK,227,0
1990,RIVERTON HEIGHTS,293,0
1990,RIVERWEST,2528,2
1990,ROLLING GREEN,492,0
1990,ROOSEVELT GROVE,1485,0
1990,ROOT CREEK,478,0
1990,RUFUS KING,1364,2
1990,SAINT JOSEPH,1637,0
1990,SAVELAND PARK,585,0
1990,SERVITE WOODS,403,0
1990,SHERMAN PARK,1691,9
1990,SILVER CITY,792,1
1990,SILVER SPRING,2469,4
1990,SILVER SWAN,398,0
1990,SOUTHGATE,488,0
1990,SOUTHPOINT,535,0
1990,ST. AMELIAN'S,581,0
1990,STORY HILL,512,0
1990,SUNSET HEIGHTS,1240,0
1990,THE VALLEY / PIGSVILLE,172,2
1990,THURSTON WOODS,1174,2
1990,TIMMERMAN AIRPORT,52,0
1990,TIMMERMAN WEST,960,0
1990,TIPPECANOE,1997,0
1990,TOWN & COUNTRY MANOR,609,0
1990,TOWN OF LAKE,1856,0
1990,TRIANGLE,132,2
1990,TRIANGLE NORTH,240,1
1990,TRIPOLI PARK,233,0
1990,UPPER EAST SIDE,839,0
1990,UPTOWN,1424,3
1990,VALHALLA,564,0
1990,VALLEY FORGE,54,0
1990,VETERANS AFFAIRS,1,0
1990,VOGEL PARK,371,1
1990,WAHL PARK,851,0
1990,WALKER'S POINT,1247,2
1990,WALNUT HILL,567,7
1990,WASHINGTON HEIGHTS,1993,2
1990,WASHINGTON PARK,1185,13
1990,WEDGEWOOD,477,0
1990,WEST VIEW,368,0
1990,WHISPERING HILLS,213,0
1990,WHITE MANOR,580,0
1990,WICK FIELD,162,1
1990,WILLIAMSBURG,630,4
1990,WILSON PARK,625,0
1990,WOODLAND COURT,135,0
1990,WOODLANDS,623,0
1990,WYRICK PARK,236,0
1990,YANKEE HILL,180,0
1991,ALCOTT PARK,473,0
1991,ALVERNO,52,0
1991,AMANI,1871,21
1991,ARLINGTON GARDENS,734,0
1991,ARLINGTON HEIGHTS,1243,2
1991,AVENUES WEST,276,13
1991,BARAN PARK,90,0
1991,BAY VIEW,4992,0
1991,BLUEMOUND HEIGHTS,975,0
1991,BORCHERT FIELD,1073,6
1991,BRADLEY ESTATES,994,0
1991,BREWER'S HILL,335,2
1991,BRYNWOOD,1,0
1991,BUCHEL PARK,13,0
1991,BURNHAM PARK,1330,0
1991,CALUMET FARMS,236,0
1991,CAMBRIDGE HEIGHTS,471,0
1991,CANNON PARK,428,0
1991,CAPITOL HEIGHTS,1653,0
1991,CASTLE MANOR,705,0
1991,CLARKE SQUARE,996,1
1991,CLAYTON CREST,521,0
1991,CLOCK TOWER ACRES,309,3
1991,COLD SPRING PARK,276,0
1991,COLLEGE HEIGHTS,373,0
1991,COLUMBUS PARK,1120,0
1991,CONCORDIA,167,0
1991,COOPER PARK,1212,0
1991,COPERNICUS PARK,465,0
1991,DINEEN PARK,906,0
1991,DOWNER WOODS,631,0
1991,DRETZKA PARK,14,0
1991,ENDERIS PARK,918,0
1991,ESTABROOK PARK,9,0
1991,EUCLID PARK,430,0
1991,FAIR PARK,419,0
1991,FAIRFIELD,335,1
1991,FAIRVIEW,1380,0
1991,FERNWOOD,1052,1
1991,FLORIST HIGHLANDS,246,0
1991,FOREST HOME HILLS,770,0
1991,FRANKLIN HEIGHTS,2269,12
1991,FREEDOM VILLAGE,14,0
1991,GARDEN HOMES,600,1
1991,GOLDEN GATE,266,0
1991,GOLDEN VALLEY,1059,0
1991,GOLDMAN PARK,521,0
1991,GRA-RAM,478,0
1991,GRACELAND,780,0
1991,GRANTOSA,354,0
1991,GRANVILLE STATION,247,0
1991,GRANVILLE WOODS,3,0
1991,GRASSLYN MANOR,1577,0
1991,GREEN MOOR,185,0
1991,GROVER HEIGHTS,108,1
1991,HALYARD PARK,103,0
1991,HAMPTON HEIGHTS,2114,1
1991,HARAMBEE,2677,15
1991,HARBOR VIEW,9,0
1991,HARDER'S OAKS,149,0
1991,HAVENWOODS,178,0
1991,HAWLEY FARMS,597,0
1991,HAWTHORNE GLEN,122,0
1991,HERITAGE HEIGHTS,33,0
1991,HIGHWOOD ESTATES,500,0
1991,HILLSIDE,40,0
1991,HILLTOP PARISH,1,0
1991,HISTORIC MITCHELL STREET,1670,0
1991,HOLLER PARK,163,0
1991,HONEY CREEK MANOR,833,0
1991,HONEY CREEK PARKWAY,426,0
1991,JACKSON PARK,2380,0
1991,JOHNSON'S WOODS,911,0
1991,JUNEAU TOWN,299,0
1991,KILBOURN TOWN,2,0
1991,KING PARK,183,2
1991,KOPS PARK,1167,0
1991,LAND BANK,18,0
1991,LAYTON PARK,1597,0
1991,LENOX HEIGHTS,455,0
1991,LINCOLN CREEK,1960,0
1991,LINCOLN PARK,1421,1
1991,LINCOLN VILLAGE,1984,1
1991,LINDSAY PARK,1055,0
1991,LITTLE MENOMONEE PARKWAY,260,0
1991,LONG VIEW,911,0
1991,LOWER EAST SIDE,1142,2
1991,LYONS PARK,520,0
1991,MACK ACRES,66,0
1991,MAITLAND PARK,316,0
1991,MAPLE TREE,335,0
1991,MARTIN DRIVE,434,1
1991,MC GOVERN PARK,1062,0
1991,MELODY VIEW,191,0
1991,MENOMONEE RIVER HILLS,1805,0
1991,MENOMONEE RIVER HILLS EAST,637,0
1991,MENOMONEE RIVER VALLEY,11,0
1991,MERRILL PARK,551,0
1991,METCALFE PARK,716,9
1991,MIDTOWN,1408,13
1991,MILL VALLEY,324,0
1991,MILLER VALLEY,109,0
1991,MILWAUKEE RIVER PARKWAY,228,0
1991,MITCHELL FIELD,73,0
1991,MITCHELL PARK,8,0
1991,MITCHELL WEST,864,0
1991,MORGAN HEIGHTS,538,0
1991,MORGANDALE,2480,0
1991,MOUNT MARY,693,0
1991,MOUNT OLIVET,56,0
1991,MURRAY HILL,620,0
1991,MUSKEGO WAY,1900,2
1991,"NASH PARK",846,0
1991,"NATIONAL PARK",458,0
1991,NEW COELN,158,0
1991,NORTH DIVISION,2124,18
1991,NORTH GRANVILLE,27,0
1991,NORTHPOINT,510,0
1991,NORTHRIDGE,216,0
1991,NORTHRIDGE LAKES,337,0
1991,OLD NORTH MILWAUKEE,3118,2
1991,PARK KNOLL,340,0
1991,PARK PLACE,33,0
1991,PARK VIEW,138,0
1991,PARKWAY HILLS,154,0
1991,PHEASANT RUN,477,0
1991,POLLBER HEIGHTS,75,0
1991,POLONIA,1006,0
1991,RED OAK HEIGHTS,223,0
1991,RIDGEVIEW,88,0
1991,RIVER BEND,499,0
1991,RIVERSIDE PARK,227,0
1991,RIVERTON HEIGHTS,319,0
1991,RIVERWEST,2530,2
1991,ROLLING GREEN,492,0
1991,ROOSEVELT GROVE,1486,5
1991,ROOT CREEK,478,0
1991,RUFUS KING,1363,5
1991,SAINT JOSEPH,1639,1
1991,SAVELAND PARK,585,0
1991,SERVITE WOODS,403,0
1991,SHERMAN PARK,1691,8
1991,SILVER CITY,791,1
1991,SILVER SPRING,2464,0
1991,SILVER SWAN,398,0
1991,SOUTHGATE,476,0
1991,SOUTHPOINT,535,0
1991,ST. AMELIAN'S,581,0
1991,STORY HILL,512,0
1991,SUNSET HEIGHTS,1240,0
1991,THE VALLEY / PIGSVILLE,159,0
1991,THURSTON WOODS,1172,0
1991,TIMMERMAN AIRPORT,51,0
1991,TIMMERMAN WEST,960,0
1991,TIPPECANOE,1997,0
1991,TOWN & COUNTRY MANOR,610,1
1991,TOWN OF LAKE,1858,0
1991,TRIANGLE,129,1
1991,TRIANGLE NORTH,235,0
1991,TRIPOLI PARK,234,0
1991,UPPER EAST SIDE,839,0
1991,UPTOWN,1422,1
1991,VALHALLA,564,0
1991,VALLEY FORGE,54,0
1991,VETERANS AFFAIRS,1,0
1991,VOGEL PARK,370,0
1991,WAHL PARK,850,0
1991,WALKER'S POINT,1232,1
1991,WALNUT HILL,562,7
1991,WASHINGTON HEIGHTS,1991,2
1991,WASHINGTON PARK,1180,11
1991,WEDGEWOOD,477,0
1991,WEST VIEW,369,0
1991,WHISPERING HILLS,213,0
1991,WHITE MANOR,580,0
1991,WICK FIELD,160,0
1991,WILLIAMSBURG,625,3
1991,WILSON PARK,628,0
1991,WOODLAND COURT,135,0
1991,WOODLANDS,623,0
1991,WYRICK PARK,236,0
1991,YANKEE HILL,178,0
1992,ALCOTT PARK,475,0
1992,ALVERNO,52,0
1992,AMANI,1816,10
1992,ARLINGTON GARDENS,734,0
1992,ARLINGTON HEIGHTS,1242,0
1992,AVENUES WEST,274,12
1992,BARAN PARK,89,0
1992,BAY VIEW,4980,0
1992,BLUEMOUND HEIGHTS,976,0
1992,BORCHERT FIELD,1064,4
1992,BRADLEY ESTATES,992,0
1992,BREWER'S HILL,339,0
1992,BRYNWOOD,1,0
1992,BUCHEL PARK,13,0
1992,BURNHAM PARK,1331,0
1992,CALUMET FARMS,237,0
1992,CAMBRIDGE HEIGHTS,471,0
1992,CANNON PARK,429,0
1992,CAPITOL HEIGHTS,1653,0
1992,CASTLE MANOR,706,0
1992,CLARKE SQUARE,994,1
1992,CLAYTON CREST,526,0
1992,CLOCK TOWER ACRES,304,1
1992,COLD SPRING PARK,277,0
1992,COLLEGE HEIGHTS,373,0
1992,COLUMBUS PARK,1120,0
1992,CONCORDIA,172,0
1992,COOPER PARK,1212,0
1992,COPERNICUS PARK,467,0
1992,DINEEN PARK,907,0
1992,DOWNER WOODS,631,0
1992,DRETZKA PARK,14,0
1992,ENDERIS PARK,918,0
1992,ESTABROOK PARK,9,0
1992,EUCLID PARK,430,0
1992,FAIR PARK,419,0
1992,FAIRFIELD,334,1
1992,FAIRVIEW,1380,0
1992,FERNWOOD,1050,0
1992,FLORIST HIGHLANDS,252,0
1992,FOREST HOME HILLS,770,0
1992,FRANKLIN HEIGHTS,2263,9
1992,FREEDOM VILLAGE,14,0
1992,GARDEN HOMES,598,0
1992,GOLDEN GATE,266,0
1992,GOLDEN VALLEY,1060,0
1992,GOLDMAN PARK,521,0
1992,GRA-RAM,477,0
1992,GRACELAND,780,1
1992,GRANTOSA,355,0
1992,GRANVILLE STATION,247,0
1992,GRANVILLE WOODS,3,0
1992,GRASSLYN MANOR,1578,0
1992,GREEN MOOR,185,0
1992,GROVER HEIGHTS,107,0
1992,HALYARD PARK,102,0
1992,HAMPTON HEIGHTS,2113,1
1992,HARAMBEE,2650,8
1992,HARBOR VIEW,9,0
1992,HARDER'S OAKS,149,0
1992,HAVENWOODS,178,0
1992,HAWLEY FARMS,597,0
1992,HAWTHORNE GLEN,122,0
1992,HERITAGE HEIGHTS,34,0
1992,HIGHWOOD ESTATES,500,0
1992,HILLSIDE,40,0
1992,HILLTOP PARISH,1,0
1992,HISTORIC MITCHELL STREET,1665,1
1992,HOLLER PARK,164,0
1992,HONEY CREEK MANOR,833,0
1992,HONEY CREEK PARKWAY,427,0
1992,JACKSON PARK,2380,0
1992,JOHNSON'S WOODS,911,0
1992,JUNEAU TOWN,297,0
1992,KILBOURN TOWN,2,0
1992,KING PARK,179,2
1992,KOPS PARK,1167,0
1992,LAND BANK,18,0
1992,LAYTON PARK,1597,0
1992,LENOX HEIGHTS,455,0
1992,LINCOLN CREEK,1959,1
1992,LINCOLN PARK,1420,2
1992,LINCOLN VILLAGE,1985,0
1992,LINDSAY PARK,1052,0
1992,LITTLE MENOMONEE PARKWAY,260,0
1992,LONG VIEW,911,0
1992,LOWER EAST SIDE,1136,0
1992,LYONS PARK,520,0
1992,MACK ACRES,68,0
1992,MAITLAND PARK,320,0
1992,MAPLE TREE,337,0
1992,MARTIN DRIVE,433,1
1992,MC GOVERN PARK,1062,1
1992,MELODY VIEW,192,0
1992,MENOMONEE RIVER HILLS,1808,0
1992,MENOMONEE RIVER HILLS EAST,636,0
1992,MENOMONEE RIVER VALLEY,11,0
1992,MERRILL PARK,547,1
1992,METCALFE PARK,700,12
1992,MIDTOWN,1366,5
1992,MILL VALLEY,324,0
1992,MILLER VALLEY,110,0
1992,MILWAUKEE RIVER PARKWAY,228,0
1992,MITCHELL FIELD,72,0
1992,MITCHELL PARK,8,0
1992,MITCHELL WEST,864,0
1992,MORGAN HEIGHTS,537,0
1992,MORGANDALE,2480,0
1992,MOUNT MARY,693,0
1992,MOUNT OLIVET,56,0
1992,MURRAY HILL,638,0
1992,MUSKEGO WAY,1899,1
1992,"NASH PARK",846,0
1992,"NATIONAL PARK",458,1
1992,NEW COELN,158,0
1992,NORTH DIVISION,2076,9
1992,NORTH GRANVILLE,29,0
1992,NORTHPOINT,510,0
1992,NORTHRIDGE,216,0
1992,NORTHRIDGE LAKES,337,0
1992,OLD NORTH MILWAUKEE,3121,3
1992,PARK KNOLL,342,0
1992,PARK PLACE,33,0
1992,PARK VIEW,138,0
1992,PARKWAY HILLS,153,0
1992,PHEASANT RUN,478,0
1992,POLLBER HEIGHTS,75,0
1992,POLONIA,1005,0
1992,RED OAK HEIGHTS,226,0
1992,RIDGEVIEW,88,0
1992,RIVER BEND,499,0
1992,RIVERSIDE PARK,226,0
1992,RIVERTON HEIGHTS,325,0
1992,RIVERWEST,2531,1
1992,ROLLING GREEN,492,0
1992,ROOSEVELT GROVE,1482,2
1992,ROOT CREEK,479,0
1992,RUFUS KING,1361,2
1992,SAINT JOSEPH,1637,0
1992,SAVELAND PARK,585,0
1992,SERVITE WOODS,403,0
1992,SHERMAN PARK,1687,4
1992,SILVER CITY,791,1
1992,SILVER SPRING,2464,2
1992,SILVER SWAN,398,0
1992,SOUTHGATE,473,0
1992,SOUTHPOINT,536,0
1992,ST. AMELIAN'S,581,0
1992,STORY HILL,512,0
1992,SUNSET HEIGHTS,1240,1
1992,THE VALLEY / PIGSVILLE,158,0
1992,THURSTON WOODS,1174,2
1992,TIMMERMAN AIRPORT,51,0
1992,TIMMERMAN WEST,958,0
1992,TIPPECANOE,1998,0
1992,TOWN & COUNTRY MANOR,610,0
1992,TOWN OF LAKE,1860,0
1992,TRIANGLE,127,0
1992,TRIANGLE NORTH,230,3
1992,TRIPOLI PARK,235,0
1992,UPPER EAST SIDE,839,0
1992,UPTOWN,1423,0
1992,VALHALLA,564,0
1992,VALLEY FORGE,54,0
1992,VETERANS AFFAIRS,1,0
1992,VOGEL PARK,370,0
1992,WAHL PARK,849,1
1992,WALKER'S POINT,1227,3
1992,WALNUT HILL,544,3
1992,WASHINGTON HEIGHTS,1988,0
1992,WASHINGTON PARK,1168,8
1992,WEDGEWOOD,477,0
1992,WEST VIEW,369,0
1992,WHISPERING HILLS,213,0
1992,WHITE MANOR,580,0
1992,WICK FIELD,160,0
1992,WILLIAMSBURG,622,2
1992,WILSON PARK,631,0
1992,WOODLAND COURT,135,0
1992,WOODLANDS,623,0
1992,WYRICK PARK,236,0
1992,YANKEE HILL,171,0
1993,ALCOTT PARK,477,0
1993,ALVERNO,52,0
1993,AMANI,1802,20
1993,ARLINGTON GARDENS,735,0
1993,ARLINGTON HEIGHTS,1240,7
1993,AVENUES WEST,263,11
1993,BARAN PARK,89,0
1993,BAY VIEW,4980,0
1993,BLUEMOUND HEIGHTS,976,0
1993,BORCHERT FIELD,1061,12
1993,BRADLEY ESTATES,980,0
1993,BREWER'S HILL,341,1
1993,BRYNWOOD,1,0
1993,BUCHEL PARK,13,0
1993,BURNHAM PARK,1331,0
1993,CALUMET FARMS,239,0
1993,CAMBRIDGE HEIGHTS,471,0
1993,CANNON PARK,429,0
1993,CAPITOL HEIGHTS,1652,2
1993,CASTLE MANOR,707,0
1993,CLARKE SQUARE,996,0
1993,CLAYTON CREST,527,0
1993,CLOCK TOWER ACRES,304,2
1993,COLD SPRING PARK,278,1
1993,COLLEGE HEIGHTS,372,0
1993,COLUMBUS PARK,1119,1
1993,CONCORDIA,170,1
1993,COOPER PARK,1211,0
1993,COPERNICUS PARK,469,0
1993,DINEEN PARK,907,0
1993,DOWNER WOODS,631,0
1993,DRETZKA PARK,13,0
1993,ENDERIS PARK,917,0
1993,ESTABROOK PARK,9,0
1993,EUCLID PARK,431,0
1993,FAIR PARK,419,0
1993,FAIRFIELD,334,1
1993,FAIRVIEW,1380,0
1993,FERNWOOD,1048,0
1993,FLORIST HIGHLANDS,255,0
1993,FOREST HOME HILLS,770,0
1993,FRANKLIN HEIGHTS,2264,11
1993,FREEDOM VILLAGE,14,0
1993,GARDEN HOMES,598,0
1993,GOLDEN GATE,266,0
1993,GOLDEN VALLEY,1060,0
1993,GOLDMAN PARK,520,0
1993,GRA-RAM,478,0
1993,GRACELAND,779,1
1993,GRANTOSA,355,0
1993,GRANVILLE STATION,248,0
1993,GRANVILLE WOODS,3,0
1993,GRASSLYN MANOR,1578,1
1993,GREEN MOOR,185,0
1993,GROVER HEIGHTS,107,0
1993,HALYARD PARK,103,2
1993,HAMPTON HEIGHTS,2113,1
1993,HARAMBEE,2624,24
1993,HARBOR VIEW,9,0
1993,HARDER'S OAKS,149,0
1993,HAVENWOODS,178,0
1993,HAWLEY FARMS,597,0
1993,HAWTHORNE GLEN,122,0
1993,HERITAGE HEIGHTS,34,0
1993,HIGHWOOD ESTATES,500,0
1993,HILLSIDE,40,0
1993,HILLTOP PARISH,1,0
1993,HISTORIC MITCHELL STREET,1662,1
1993,HISTORIC THIRD WARD,1,0
1993,HOLLER PARK,164,0
1993,HONEY CREEK MANOR,833,0
1993,HONEY CREEK PARKWAY,427,0
1993,JACKSON PARK,2380,0
1993,JOHNSON'S WOODS,911,0
1993,JUNEAU TOWN,295,0
1993,KILBOURN TOWN,1,0
1993,KING PARK,175,4
1993,KOPS PARK,1166,1
1993,LAND BANK,18,0
1993,LAYTON PARK,1597,1
1993,LENOX HEIGHTS,455,0
1993,LINCOLN CREEK,1960,2
1993,LINCOLN PARK,1419,0
1993,LINCOLN VILLAGE,1985,0
1993,LINDSAY PARK,1052,0
1993,LITTLE MENOMONEE PARKWAY,261,0
1993,LONG VIEW,911,1
1993,LOWER EAST SIDE,1131,0
1993,LYONS PARK,518,0
1993,MACK ACRES,69,0
1993,MAITLAND PARK,320,0
1993,MAPLE TREE,354,0
1993,MARTIN DRIVE,432,0
1993,MC GOVERN PARK,1061,0
1993,MELODY VIEW,192,0
1993,MENOMONEE RIVER HILLS,1817,0
1993,MENOMONEE RIVER HILLS EAST,636,1
1993,MENOMONEE RIVER VALLEY,11,0
1993,MERRILL PARK,543,0
1993,METCALFE PARK,689,11
1993,MIDTOWN,1351,12
1993,MILL VALLEY,324,0
1993,MILLER VALLEY,110,0
1993,MILWAUKEE RIVER PARKWAY,228,0
1993,MITCHELL FIELD,73,0
1993,MITCHELL PARK,8,0
1993,MITCHELL WEST,868,1
1993,MORGAN HEIGHTS,537,0
1993,MORGANDALE,2478,0
1993,MOUNT MARY,694,0
1993,MOUNT OLIVET,56,0
1993,MURRAY HILL,639,0
1993,MUSKEGO WAY,1903,3
1993,"NASH PARK",845,0
1993,"NATIONAL PARK",458,2
1993,NEW COELN,158,0
1993,NORTH DIVISION,2039,26
1993,NORTH GRANVILLE,29,0
1993,NORTHPOINT,510,0
1993,NORTHRIDGE,216,0
1993,NORTHRIDGE LAKES,337,0
1993,OLD NORTH MILWAUKEE,3121,10
1993,PARK KNOLL,346,0
1993,PARK PLACE,33,0
1993,PARK VIEW,138,0
1993,PARKWAY HILLS,153,0
1993,PHEASANT RUN,478,0
1993,POLLBER HEIGHTS,75,0
1993,POLONIA,1005,0
1993,RED OAK HEIGHTS,226,0
1993,RIDGEVIEW,88,0
1993,RIVER BEND,499,0
1993,RIVERSIDE PARK,227,0
1993,RIVERTON HEIGHTS,338,0
1993,RIVERWEST,2528,2
1993,ROLLING GREEN,492,0
1993,ROOSEVELT GROVE,1484,3
1993,ROOT CREEK,479,0
1993,RUFUS KING,1361,6
1993,SAINT JOSEPH,1636,2
1993,SAVELAND PARK,585,0
1993,SERVITE WOODS,403,0
1993,SHERMAN PARK,1688,7
1993,SILVER CITY,789,0
1993,SILVER SPRING,2463,2
1993,SILVER SWAN,399,0
1993,SOUTHGATE,474,0
1993,SOUTHPOINT,536,0
1993,ST. AMELIAN'S,581,0
1993,STORY HILL,512,0
1993,SUNSET HEIGHTS,1239,0
1993,THE VALLEY / PIGSVILLE,158,0
1993,THURSTON WOODS,1172,2
1993,TIMMERMAN AIRPORT,51,0
1993,TIMMERMAN WEST,957,0
1993,TIPPECANOE,1998,1
1993,TOWN & COUNTRY MANOR,608,1
1993,TOWN OF LAKE,1860,0
1993,TRIANGLE,126,3
1993,TRIANGLE NORTH,224,3
1993,TRIPOLI PARK,236,0
1993,UPPER EAST SIDE,838,0
1993,UPTOWN,1424,2
1993,VALHALLA,564,0
1993,VALLEY FORGE,54,0
1993,VETERANS AFFAIRS,1,0
1993,VOGEL PARK,370,0
1993,WAHL PARK,847,0
1993,WALKER'S POINT,1219,3
1993,WALNUT HILL,523,6
1993,WASHINGTON HEIGHTS,1989,1
1993,WASHINGTON PARK,1162,10
1993,WEDGEWOOD,477,0
1993,WEST VIEW,369,0
1993,WHISPERING HILLS,213,0
1993,WHITE MANOR,580,0
1993,WICK FIELD,160,0
1993,WILLIAMSBURG,619,3
1993,WILSON PARK,632,0
1993,WOODLAND COURT,135,0
1993,WOODLANDS,624,0
1993,WYRICK PARK,236,0
1993,YANKEE HILL,168,0
1994,ALCOTT PARK,478,0
1994,ALVERNO,52,0
1994,AMANI,1762,11
1994,ARLINGTON GARDENS,735,0
1994,ARLINGTON HEIGHTS,1235,3
1994,AVENUES WEST,263,12
1994,BARAN PARK,88,0
1994,BAY VIEW,4978,0
1994,BLUEMOUND HEIGHTS,976,0
1994,BORCHERT FIELD,1048,5
1994,BRADLEY ESTATES,970,0
1994,BREWER'S HILL,338,0
1994,BRYNWOOD,1,0
1994,BUCHEL PARK,13,0
1994,BURNHAM PARK,1333,0
1994,CALUMET FARMS,242,0
1994,CAMBRIDGE HEIGHTS,471,0
1994,CANNON PARK,429,0
1994,CAPITOL HEIGHTS,1650,0
1994,CASTLE MANOR,708,0
1994,CLARKE SQUARE,993,0
1994,CLAYTON CREST,527,0
1994,CLOCK TOWER ACRES,301,1
1994,COLD SPRING PARK,274,0
1994,COLLEGE HEIGHTS,373,0
1994,COLUMBUS PARK,1118,0
1994,CONCORDIA,172,0
1994,COOPER PARK,1212,0
1994,COPERNICUS PARK,469,0
1994,DINEEN PARK,907,0
1994,DOWNER WOODS,633,0
1994,DRETZKA PARK,13,0
1994,ENDERIS PARK,917,0
1994,ESTABROOK PARK,9,0
1994,EUCLID PARK,431,0
1994,FAIR PARK,420,0
1994,FAIRFIELD,333,1
1994,FAIRVIEW,1380,0
1994,FERNWOOD,1048,0
1994,FLORIST HIGHLANDS,257,0
1994,FOREST HOME HILLS,770,1
1994,FRANKLIN HEIGHTS,2246,10
1994,FREEDOM VILLAGE,14,0
1994,GARDEN HOMES,598,0
1994,GOLDEN GATE,266,0
1994,GOLDEN VALLEY,1060,0
1994,GOLDMAN PARK,521,0
1994,GRA-RAM,478,0
1994,GRACELAND,779,0
1994,GRANTOSA,355,0
1994,GRANVILLE STATION,248,0
1994,GRANVILLE WOODS,3,0
1994,GRASSLYN MANOR,1578,0
1994,GREEN MOOR,185,0
